Message 1,Message 2,Response,M1 Send Time,M2 Receive Time,Number of Words (M1),Number of Punctuation (M1),Presence of Emojis (M1),Presence of Images (M1),Presence of Videos (M1),Presence of Links (M1),Number of Words (M2),Number of Punctuation (M2),Presence of Emojis (M2),Presence of Images (M2),Presence of Videos (M2),Presence of Links (M2),TimeOfResponse
I'm going to a comedy show tonight. 😂,Comedy shows are hilarious! Who's your favorite comedian?,Yes,11/10/2023 9:12,11/10/2023 9:17,6,3,Yes,No,No,No,9,2,Yes,No,No,No,2.077676972
I'm planning a quiet night in. 🌙,Quiet nights in are so cozy! Do you have any book recommendations?,Yes,11/10/2023 9:13,11/10/2023 9:18,6,3,Yes,No,No,No,10,2,Yes,No,No,No,2.511459042
I'm going to cook a special dinner tonight. 🍳,Cooking a special dinner is fun! What's your signature dish?,Yes,11/10/2023 9:14,11/10/2023 9:19,6,3,Yes,No,No,No,10,2,Yes,No,No,No,3.518004477
I'm taking my dog for a walk. 🐕,Dog walks are refreshing! What's your dog's name?,Yes,11/10/2023 9:15,11/10/2023 9:20,6,3,Yes,No,No,No,9,2,Yes,No,No,No,4.425721589
I'm planning a road trip with friends. 🚗,Road trips with friends are epic! What's your favorite road trip destination?,Yes,11/10/2023 9:16,11/10/2023 9:21,6,3,Yes,No,No,No,10,2,Yes,No,No,No,2.900391901
I'm going to a music concert tonight. 🎵,Music concerts are electrifying! Who's your favorite band?,Yes,11/10/2023 9:17,11/10/2023 9:22,6,3,Yes,No,No,No,10,2,Yes,No,No,No,1.829665985
I'm planning a picnic in the park. 🍉,Picnics in the park are charming! What's your favorite picnic food?,Yes,11/10/2023 9:18,11/10/2023 9:23,6,3,Yes,No,No,No,10,2,Yes,No,No,No,1.152127679
I'm going to start a new painting. 🎨,Starting a new painting is so creative! What's your favorite painting style?,Yes,11/10/2023 9:19,11/10/2023 9:24,6,3,Yes,No,No,No,10,2,Yes,No,No,No,2.191785252
I'm planning a trip to a vineyard. 🍷,Vineyard trips are wine-tastic! Do you enjoy wine tasting?,Yes,11/10/2023 9:20,11/10/2023 9:25,6,3,Yes,No,No,No,10,2,Yes,No,No,No,3.82698986
I'm going to a stand-up comedy show. 😆,Stand-up comedy shows are hilarious! Have you seen any live comedy recently?,Yes,11/10/2023 9:21,11/10/2023 9:26,6,3,Yes,No,No,No,10,2,Yes,No,No,No,1.068198691
I'm planning a road trip to the mountains. 🏔️,Mountain road trips are breathtaking! Which mountain range are you visiting?,Yes,11/10/2023 9:22,11/10/2023 9:27,6,3,Yes,No,No,No,10,2,Yes,No,No,No,0.926144879
I'm planning a beach vacation.,Beach vacations are so relaxing! Which beach are you heading to?,Yes,11/10/2023 9:23,11/10/2023 9:28,6,3,Yes,No,No,No,9,2,Yes,No,No,No,1.53568712
I'm going to redecorate my living room.,That's a great idea! What color scheme are you thinking of?,Yes,11/10/2023 9:24,11/10/2023 9:29,8,3,Yes,No,No,No,10,2,Yes,No,No,No,2.083420946
I'm planning a day at the amusement park.,Amusement parks are thrilling! What's the best ride there?,Yes,11/10/2023 9:25,11/10/2023 9:30,7,3,Yes,No,No,No,10,2,Yes,No,No,No,1.132859305
I'm going to start a new fitness program.,Staying healthy is important! What's your workout routine?,Yes,11/10/2023 9:26,11/10/2023 9:31,7,3,Yes,No,No,No,10,2,Yes,No,No,No,2.571259702
I'm planning a visit to an art gallery.,Art galleries are inspiring! Do you have a favorite artist?,Yes,11/10/2023 9:27,11/10/2023 9:32,6,3,Yes,No,No,No,10,2,Yes,No,No,No,1.873086696
I'm going to cook a special dinner tonight.,That sounds delicious! What's on the menu?,Yes,11/10/2023 9:28,11/10/2023 9:33,7,3,Yes,No,No,No,9,2,Yes,No,No,No,4.104967014
I'm planning a day at the zoo.,Zoo visits are so exciting! What animals do you want to see?,Yes,11/10/2023 9:29,11/10/2023 9:34,6,3,Yes,No,No,No,10,2,Yes,No,No,No,4.548749604
I'm going to learn how to salsa dance.,Dancing is so much fun! Are you taking lessons?,Yes,11/10/2023 9:30,11/10/2023 9:35,6,3,Yes,No,No,No,9,2,Yes,No,No,No,0.85165826
I'm planning a road trip with friends.,Road trips with friends are awesome! Where are you going?,Yes,11/10/2023 9:31,11/10/2023 9:36,7,3,Yes,No,No,No,10,2,Yes,No,No,No,1.718982107
I'm going to start a DIY home improvement project.,DIY projects are satisfying! What's your first task?,Yes,11/10/2023 9:32,11/10/2023 9:37,8,3,Yes,No,No,No,10,2,Yes,No,No,No,0.800539246
I'm planning a visit to a vineyard.,Vineyards are lovely! Do you enjoy wine tasting?,Yes,11/10/2023 9:33,11/10/2023 9:38,6,3,Yes,No,No,No,10,2,Yes,No,No,No,4.514642022
I'm going to cook a special dinner tonight.,Sounds tasty! What's your favorite recipe?,Yes,11/10/2023 9:34,11/10/2023 9:39,7,3,Yes,No,No,No,10,2,Yes,No,No,No,2.647735447
I'm planning a family picnic in the park.,Family picnics are fun! What's on the menu?,Yes,11/10/2023 9:35,11/10/2023 9:40,6,3,Yes,No,No,No,10,2,Yes,No,No,No,2.253527514
I'm going to take my kids to an amusement park.,Kids love amusement parks! What's their favorite ride?,Yes,11/10/2023 9:36,11/10/2023 9:41,8,3,Yes,No,No,No,10,2,Yes,No,No,No,2.38337583
I'm planning a road trip to the coast.,Coastal road trips are beautiful! Which coastal towns are you visiting?,Yes,11/10/2023 9:37,11/10/2023 9:42,7,3,Yes,No,No,No,10,2,Yes,No,No,No,3.518517678
I'm going to learn how to play the guitar.,Learning an instrument is fun! Have you played before?,Yes,11/10/2023 9:38,11/10/2023 9:43,8,3,Yes,No,No,No,9,2,Yes,No,No,No,4.159729049
I'm planning a visit to a wildlife safari.,Wildlife safaris are amazing! Which animals are you hoping to see?,Yes,11/10/2023 9:39,11/10/2023 9:44,6,3,Yes,No,No,No,10,2,Yes,No,No,No,0.303165056
I'm going to start a new fitness challenge.,Fitness challenges are motivating! What are your goals?,Yes,11/10/2023 9:40,11/10/2023 9:45,7,3,Yes,No,No,No,10,2,Yes,No,No,No,4.594713026
I'm planning a visit to a historical museum.,History is fascinating! Which period of history interests you the most?,Yes,11/10/2023 9:41,11/10/2023 9:46,6,3,Yes,No,No,No,10,2,Yes,No,No,No,0.188853869
I'm going to cook a special dinner tonight.,Cooking special dinners is enjoyable! What's your specialty?,Yes,11/10/2023 9:42,11/10/2023 9:47,7,3,Yes,No,No,No,10,2,Yes,No,No,No,2.648972389
I'm planning a hiking trip to the mountains.,Mountains offer stunning views! Which trail are you taking?,Yes,11/10/2023 9:50,11/10/2023 9:55,8,3,No,Yes,No,No,10,2,Yes,No,No,No,2.479320955
I'm going to redecorate my living room.,That's a great idea! What color scheme are you thinking of?,Yes,11/10/2023 9:51,11/10/2023 9:56,8,3,Yes,No,No,No,10,2,Yes,No,No,No,3.591149041
I'm planning a visit to a wildlife sanctuary.,Wildlife sanctuaries are amazing! Which animals are you hoping to spot?,Yes,11/10/2023 9:52,11/10/2023 9:57,8,3,Yes,No,No,No,10,2,Yes,No,No,No,2.90943753
I'm going to start a blog about travel experiences.,Blogging is a great way to share your adventures! What's your first post about?,Yes,11/10/2023 9:53,11/10/2023 9:58,8,3,Yes,No,No,No,10,2,Yes,No,No,No,0.914378301
I'm planning a visit to a botanical garden.,Botanical gardens are so serene! Do you have a favorite flower?,Yes,11/10/2023 9:54,11/10/2023 9:59,7,3,Yes,No,No,No,10,2,Yes,No,No,No,2.24796207
I'm going to bake a batch of chocolate chip cookies.,Yum! Can I have one? 😊,Yes,11/10/2023 9:55,11/10/2023 10:00,8,3,Yes,No,No,No,7,2,Yes,No,No,No,2.186414818
I'm planning a visit to a science museum.,Science museums are educational! Any particular exhibit you're excited to see?,Yes,11/10/2023 9:56,11/10/2023 10:01,7,3,Yes,No,No,No,10,2,Yes,No,No,No,3.15787206
I'm going to learn how to paint with watercolors.,Artistic hobbies are wonderful! What's your first painting going to be?,Yes,11/10/2023 9:57,11/10/2023 10:02,8,3,No,No,Yes,No,10,2,Yes,No,No,No,1.504808082
I'm planning a beach vacation with friends.,Beach vacations with friends are fun! Which beach will you visit?,Yes,11/10/2023 9:58,11/10/2023 10:03,7,3,Yes,No,No,No,10,2,Yes,No,No,No,3.614315655
I'm going to start a new job next week.,Starting a new job is exciting! What will your role be?,Yes,11/10/2023 9:59,11/10/2023 10:04,7,3,No,No,Yes,No,9,2,Yes,No,No,No,1.909970261
I'm planning a visit to a wildlife safari.,Wildlife safaris are adventurous! What animals do you hope to see?,Yes,11/10/2023 10:00,11/10/2023 10:05,7,3,Yes,No,No,No,10,2,Yes,No,No,No,3.962500695
I'm going to attend a music festival.,Music festivals are a blast! Which bands are you looking forward to?,Yes,11/10/2023 10:01,11/10/2023 10:06,7,3,No,No,Yes,No,10,2,Yes,No,No,No,0.212108141
I'm planning a visit to a historical museum.,History is fascinating! Which historical period interests you the most?,Yes,11/10/2023 10:02,11/10/2023 10:07,6,3,Yes,No,No,No,10,2,Yes,No,No,No,1.218591481
I'm going to bake a homemade apple pie.,Homemade pies are delicious! Do you have a secret ingredient?,Yes,11/10/2023 10:03,11/10/2023 10:08,8,3,No,No,Yes,No,9,2,Yes,No,No,No,2.583334666
I'm planning a visit to a science museum.,Science museums are educational! Any particular exhibit you're excited to see?,Yes,11/10/2023 10:04,11/10/2023 10:09,7,3,Yes,No,No,No,10,2,Yes,No,No,No,3.616067687
I'm going to start a new fitness challenge.,Fitness challenges are motivating! What are your goals?,Yes,11/10/2023 10:05,11/10/2023 10:10,7,3,Yes,No,No,No,10,2,Yes,No,No,No,3.901932053
I'm planning a visit to a historical museum.,History is fascinating! Which historical period interests you the most?,Yes,11/10/2023 10:06,11/10/2023 10:11,6,3,Yes,No,No,No,10,2,Yes,No,No,No,4.426415824
I'm going to bake a homemade apple pie.,Homemade pies are delicious! Do you have a secret ingredient?,Yes,11/10/2023 10:07,11/10/2023 10:12,8,3,Yes,No,No,No,9,2,Yes,No,No,No,1.826198012
I'm planning a visit to a wildlife sanctuary.,Wildlife sanctuaries are amazing! Which animals are you hoping to spot?,Yes,11/10/2023 10:08,11/10/2023 10:13,8,3,Yes,No,No,No,10,2,Yes,No,No,No,0.809776382
I'm going to learn how to paint with watercolors.,Artistic hobbies are wonderful! What's your first painting going to be?,Yes,11/10/2023 10:09,11/10/2023 10:14,8,3,Yes,No,No,No,10,2,Yes,No,No,No,3.5477497
I'm planning a hiking trip to the mountains.,Mountains offer stunning views! Which trail are you taking?,Yes,11/10/2023 10:10,11/10/2023 10:15,8,3,No,Yes,No,No,10,2,Yes,No,No,No,1.634637537
I'm going to bake a batch of chocolate chip cookies.,Yum! Can I have one? 😊,Yes,11/10/2023 10:11,11/10/2023 10:16,8,3,Yes,No,No,No,7,2,Yes,No,No,No,1.280179869
I'm planning a visit to a wildlife safari.,Wildlife safaris are adventurous! What animals do you hope to see?,Yes,11/10/2023 10:12,11/10/2023 10:17,7,3,Yes,No,No,No,10,2,Yes,No,No,No,3.295886353
I'm going to attend a music festival.,Music festivals are a blast! Which bands are you looking forward to?,Yes,11/10/2023 10:13,11/10/2023 10:18,7,3,Yes,No,No,No,10,2,Yes,No,No,No,2.953367219
I'm planning a hiking trip to the mountains.,Mountains offer stunning views! Which trail are you taking?,Yes,11/10/2023 10:14,11/10/2023 10:19,8,3,No,Yes,No,No,10,2,Yes,No,No,No,2.459820979
I'm going to bake a batch of chocolate chip cookies.,Yum! Can I have one? 😊,Yes,11/10/2023 10:15,11/10/2023 10:20,8,3,Yes,No,No,No,7,2,Yes,No,No,No,2.577245229
I'm planning a visit to a botanical garden.,Botanical gardens are so serene! Do you have a favorite flower?,Yes,11/10/2023 10:16,11/10/2023 10:21,7,3,Yes,No,No,No,10,2,Yes,No,No,No,4.438831177
I'm going to attend a music festival.,Music festivals are a blast! Which bands are you looking forward to?,Yes,11/10/2023 10:17,11/10/2023 10:22,7,3,Yes,No,No,No,10,2,Yes,No,No,No,1.198157016
I'm planning a visit to a botanical garden.,Botanical gardens are so serene! Do you have a favorite flower?,Yes,11/10/2023 10:18,11/10/2023 10:23,7,3,Yes,No,No,No,10,2,Yes,No,No,No,1.07790402
I'm going to bake a batch of chocolate chip cookies.,Yum! Can I have one? 😊,Yes,11/10/2023 10:19,11/10/2023 10:24,8,3,Yes,No,No,No,7,2,Yes,No,No,No,2.010426417
I'm planning a visit to a wildlife sanctuary.,Wildlife sanctuaries are amazing! Which animals are you hoping to spot?,Yes,11/10/2023 10:20,11/10/2023 10:25,8,3,Yes,No,No,No,10,2,Yes,No,No,No,2.821545883
I'm going to learn how to paint with watercolors.,Artistic hobbies are wonderful! What's your first painting going to be?,Yes,11/10/2023 10:21,11/10/2023 10:26,8,3,Yes,No,No,No,10,2,Yes,No,No,No,1.847618753
I'm planning a hiking trip to the mountains.,Mountains offer stunning views! Which trail are you taking?,Yes,11/10/2023 10:22,11/10/2023 10:27,8,3,No,Yes,No,No,10,2,Yes,No,No,No,1.341415777
I'm going to bake a batch of chocolate chip cookies.,Yum! Can I have one? 😊,Yes,11/10/2023 10:23,11/10/2023 10:28,8,3,Yes,No,No,No,7,2,Yes,No,No,No,3.305607966
I'm planning a visit to a wildlife safari.,Wildlife safaris are adventurous! What animals do you hope to see?,Yes,11/10/2023 10:24,11/10/2023 10:29,7,3,Yes,No,No,No,10,2,Yes,No,No,No,0.939212972
I'm going to attend a music festival.,Music festivals are a blast! Which bands are you looking forward to?,Yes,11/10/2023 10:25,11/10/2023 10:30,7,3,Yes,No,No,No,10,2,Yes,No,No,No,4.482450596
I'm planning a road trip to the mountains.,Sounds like a great adventure! Have you picked a route?,Yes,11/11/2023 10:00,11/11/2023 10:05,8,1,No,No,No,No,10,2,No,No,No,No,2.079927697
I'm going to redecorate my home office.,That's exciting! What theme are you going for?,Yes,11/11/2023 10:01,11/11/2023 10:06,8,1,No,No,No,No,10,2,No,No,No,No,0.279801923
I'm going to a nature reserve for bird-watching.,Enjoy the serene nature! Any specific birds you hope to spot?,Yes,11/11/2023 11:00,11/11/2023 11:05,8,1,No,No,No,No,10,2,No,No,No,No,1.316600943
I'm starting a blog about travel experiences.,Blogging is a great way to share your adventures! What's your first post about?,Yes,11/11/2023 11:01,11/11/2023 11:06,8,1,No,No,No,No,10,2,No,No,No,No,3.984572621
I'm going to a salsa dance class tonight.,Dancing is so much fun! Are you going with friends?,Yes,11/11/2023 12:00,11/11/2023 12:05,7,1,No,No,No,No,9,2,No,No,No,No,2.036452919
I'm baking a batch of chocolate chip cookies.,Yum! Can I have one? 😊,Yes,11/11/2023 12:01,11/11/2023 12:06,7,1,No,No,No,No,8,2,Yes,No,No,No,1.464668322
I'm volunteering at an animal shelter this weekend.,That's so kind! What animals will you be helping?,Yes,11/11/2023 13:00,11/11/2023 13:05,8,1,No,No,No,No,9,2,No,No,No,No,4.334895417
I'm going to a film festival with independent movies.,Independent films can be so creative! Any must-see movies?,Yes,11/11/2023 13:01,11/11/2023 13:06,8,1,No,No,No,No,10,2,No,No,No,No,3.073488522
I'm learning to paint with watercolors.,Artistic hobbies are wonderful! What's your first painting?,Yes,11/11/2023 14:00,11/11/2023 14:05,8,1,No,No,No,No,7,2,No,No,No,No,0.901800449
I'm going to a science fiction convention.,Sci-fi is fascinating! Are you dressing up as a character?,Yes,11/11/2023 14:01,11/11/2023 14:06,8,1,No,No,No,No,10,2,No,No,No,No,1.496991418
I'm attending a meditation retreat.,That's a peaceful choice! How long will you be meditating?,Yes,11/11/2023 15:00,11/11/2023 15:05,8,1,No,No,No,No,9,2,No,No,No,No,4.340983521
I'm starting a new podcast about technology.,Podcasting is cool! What's the first topic you'll cover?,Yes,11/11/2023 15:01,11/11/2023 15:06,8,1,No,No,No,No,10,2,No,No,No,No,1.469203302
I'm going to a farmers' market for fresh produce.,Fresh produce is the best! Any specific items on your list?,Yes,11/11/2023 16:00,11/11/2023 16:05,8,1,No,No,No,No,10,2,No,No,No,No,3.02799981
I'm taking my kids to a theme park.,Kids love theme parks! What's their favorite ride?,Yes,11/11/2023 16:01,11/11/2023 16:06,8,1,No,No,No,No,10,2,No,No,No,No,0.627998304
I'm joining a language exchange program.,Learning a new language is a great idea! Which language?,Yes,11/11/2023 17:00,11/11/2023 17:05,8,1,No,No,No,No,10,2,No,No,No,No,4.224598356
I'm going to a classical music concert.,Classical music is beautiful! Any specific composer or piece?,Yes,11/11/2023 17:01,11/11/2023 17:06,8,1,No,No,No,No,10,2,No,No,No,No,1.635401849
I'm starting a home garden with herbs.,Fresh herbs are a great addition to cooking! What will you grow?,Yes,11/11/2023 18:00,11/11/2023 18:05,8,1,No,No,No,No,9,2,No,No,No,No,1.157029421
I'm going to a stand-up comedy show.,Laughter is the best medicine! Any favorite comedian?,Yes,11/11/2023 18:01,11/11/2023 18:06,8,1,No,No,No,No,10,2,No,No,No,No,2.942126171
I'm planning a hiking trip with friends.,Hiking is a great way to bond! Any specific trails in mind?,Yes,11/11/2023 19:00,11/11/2023 19:05,8,1,No,No,No,No,10,2,No,No,No,No,1.005487355
I'm taking a cooking class to improve my skills.,Cooking is a valuable skill! What cuisine are you learning?,Yes,11/11/2023 19:01,11/11/2023 19:06,8,1,No,No,No,No,10,2,No,No,No,No,3.381837937
